pol,godina_studija,oblast,drzava,ocena,sati_ucenja_nedeljno,prisustvo_na_nastavi,smestaj,finansijski_status,bliskost_sa_roditeljima
M,2.0,Biology,Iraq,C,7.0,vgood,Private,good,Close
M,2.0,Biology,Iraq,B,7.0,good,Private,vgood,Very close
M,3.0,Biology,Iraq,C,14.0,good,Non private,good,Close
M,2.0,Biology,Iraq,C,7.0,vgood,Non private,good,Close
M,2.0,Biology,Iraq,C,14.0,vgood,Private,good,Very close
M,3.0,Biology,Iraq,B,21.0,vgood,Private,vgood,Very close
M,3.0,Biology,Iraq,B,14.0,vgood,Private,vgood,Very close
M,2.0,Biology,Iraq,C,7.0,good,Private,vgood,Very close
M,2.0,Biology,Iraq,C,7.0,good,Private,vgood,Very close
F,2.0,Biology,Iraq,A,14.0,good,Private,vgood,Very close
F,1.0,Biology,Iraq,A,21.0,good,Private,good,Very close
F,2.0,Engineering,Iraq,C,21.0,vgood,Non private,vgood,Very close
F,4.0,Engineering,Iraq,C,7.0,good,Non private,good,Very close
F,2.0,Engineering,Iraq,C,7.0,poor,Private,good,Close
F,2.0,Engineering,Iraq,C,14.0,good,Non private,good,Very close
F,1.0,Engineering,Iraq,C,21.0,vgood,Private,good,Close
F,3.0,Engineering,Iraq,C,14.0,vgood,Private,good,Close
F,2.0,Engineering,Iraq,C,21.0,vgood,Private,good,Close
F,2.0,Engineering,Iraq,C,21.0,vgood,Private,vgood,Very close
F,2.0,Engineering,Iraq,C,14.0,good,Private,good,Close
F,2.0,Engineering,Iraq,C,21.0,vgood,Private,excellent,Very close
F,2.0,Engineering,Iraq,B,21.0,vgood,Private,good,Very close
F,1.0,Engineering,Iraq,C,14.0,vgood,Private,good,Close
F,2.0,Engineering,Iraq,C,14.0,vgood,Private,good,Very close
F,2.0,Engineering,Iraq,C,21.0,good,Private,vgood,Very close
